BusinessEntityID,Año,Trimestre,Mes,Día,rowguid
1,2017,Trim. 4,diciembre,13,0C7D8F81-D7B1-4CF0-9C0A-4CD8B6B50087
2,2017,Trim. 4,diciembre,13,6648747F-7843-4002-B317-65389684C398
3,2017,Trim. 4,diciembre,13,568204DA-93D7-42F4-8A7A-4446A144277D
4,2017,Trim. 4,diciembre,13,0EFF57B9-4F4F-41A6-8867-658C199A5FC0
5,2017,Trim. 4,diciembre,13,B82F88D1-FF79-4FD9-8C54-9D24C140F647
6,2017,Trim. 4,diciembre,13,1B3D077A-1941-4D6E-8328-F7DC03595565
7,2017,Trim. 4,diciembre,13,C1898370-A36F-43A2-987C-0BF24FE3FB82
8,2017,Trim. 4,diciembre,13,2B50ABB8-ABAB-412B-A4D0-4FD5EBEB5CBE
9,2017,Trim. 4,diciembre,13,5C0AB449-A087-4D8D-834F-3726061B6BFA
10,2017,Trim. 4,diciembre,13,0F3CC1D7-F484-4BDE-B088-B11EF03E2F52
11,2017,Trim. 4,diciembre,13,A417A3D1-00EB-4D7F-B793-F93DC2C5391D
12,2017,Trim. 4,diciembre,13,EBD8A50F-322E-4426-A39A-566FD5535B1C
13,2017,Trim. 4,diciembre,13,1D61C426-FF79-4E23-9EA5-9610CB063F3B
14,2017,Trim. 4,diciembre,13,C596EC29-BA16-441B-A5EC-7FED4C8344C4
15,2017,Trim. 4,diciembre,13,955E421A-0AEB-4D8F-AE74-88EFFB82E41A
16,2017,Trim. 4,diciembre,13,BC224F3F-1776-450E-991A-B2F2FB10F39A
17,2017,Trim. 4,diciembre,13,A51C9689-FA2B-4162-8CAD-B2500471221A
18,2017,Trim. 4,diciembre,13,301054EA-0FDC-47D4-BBD1-8DBEB189EAD7
19,2017,Trim. 4,diciembre,13,5958EDCA-352F-44F4-A8F2-3BF8AFF699DF
20,2017,Trim. 4,diciembre,13,85A4CF13-3DAD-496B-B1F7-27B990EF7EB8
21,2017,Trim. 4,diciembre,13,11E4F0C7-D6B7-41BB-BAED-8AD7D052E378
22,2017,Trim. 4,diciembre,13,F99503C8-3F5B-4D90-94E7-A14BD304A5B4
23,2017,Trim. 4,diciembre,13,A1A1E909-83A7-40F4-98F5-5B0B2CA778CB
24,2017,Trim. 4,diciembre,13,20CD83C8-A8E0-4800-B735-76D034EC114F
25,2017,Trim. 4,diciembre,13,97447E48-4812-4737-88F7-A00CF1AD495C
26,2017,Trim. 4,diciembre,13,6735DBDD-8E9D-425A-93D1-522EC1788737
27,2017,Trim. 4,diciembre,13,F44EB89F-486E-4652-A963-46134500FB55
28,2017,Trim. 4,diciembre,13,BE7F33EF-371F-47DA-9833-37FAF98F8AF8
29,2017,Trim. 4,diciembre,13,225F6245-9FB9-44B0-B705-AAC0EDC677FE
30,2017,Trim. 4,diciembre,13,CD9FFE86-8CA4-4A36-91FC-1F61A955E435
31,2017,Trim. 4,diciembre,13,20F761BB-5323-4714-ABCE-DB82428A6F5E
32,2017,Trim. 4,diciembre,13,4C235F6C-275B-4DE5-860E-98807873236D
33,2017,Trim. 4,diciembre,13,888C9433-02F1-4758-ACA8-EE544D2A2309
34,2017,Trim. 4,diciembre,13,849337D0-1D6B-4327-83EF-6700F2D20EC9
35,2017,Trim. 4,diciembre,13,7A6037EB-AEFE-4D05-B925-D022A158A5E4
36,2017,Trim. 4,diciembre,13,2F51BEB8-5842-4992-B730-E1EE8E8A498F
37,2017,Trim. 4,diciembre,13,5E98E090-73E3-4289-9265-99DBBDADD025
38,2017,Trim. 4,diciembre,13,5AD7C51D-06FC-46EB-A9A1-14A4E1719D0A
39,2017,Trim. 4,diciembre,13,3FF6A2C4-2113-4BE5-8E8C-E970E1668065
